2 0.0
7 0.0009970664978027344
12 0.001993894577026367
17 0.0029916763305664062
22 0.00797891616821289
27 0.01795172691345215
32 0.027954578399658203
37 0.04989266395568848
42 0.06679534912109375
47 0.12566328048706055
52 0.15558314323425293
57 0.20545029640197754
62 0.26287031173706055
67 0.38256263732910156
72 0.5275633335113525
77 0.6577699184417725
82 0.927783727645874
87 1.2249228954315186
(250,177.09834671020508)
(255,196.2300751209259)
(260,216.0794324874878)
(265,241.18805527687073)
(270,265.84722566604614)
(275,292.98574686050415)
(280,319.89549565315247)
(285,354.4158718585968)
(290,389.20655274391174)
(295,420.03592252731323)
(300,459.5021150112152)
(305,497.4302599430084)
(310,540.4338443279266)
(315,585.5637457370758)
(320,627.4904284477234)
(325,677.1073560714722)
(330,733.7251155376434)
(335,777.9277002811432)
(340,839.5063512325287)
(345,899.7224340438843)
(350,969.7006289958954)
(355,1036.706217765808)
(360,1086.263559103012)
(365,1095.560028553009)
(370,1170.622888326645)
(375,1251.8952221870422)
(380,1378.1940696239471)
(385,1618.9819781780243)
(390,1750.6648688316345)
(395,1891.4845201969147)
(400,2000.4014794826508)
(405,2122.002621650696)
(410,2203.75971865654)
(415,2252.0141081809998)
(420,2251.036379098892)
